Nome;Categoria;SKU;Variacao;Preco;codigo
PULSEIRA;03 25;005.06603;;18,49;0050660301
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.10905;;58,38;0051090566
PULSEIRA;03 25;005.11048;;46,54;0051104801
PULSEIRA;03 25;005.11048_02;;46,54;0051104801
PULSEIRA;03 25;005.11449;;39,73;0051144901
PULSEIRA;03 25;005.11856;;57,44;0051185601
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.12161;;8;0051216166
PULSEIRA;03 25;005.12326;;82,78;0051232601
PULSEIRA;03 25;005.12326_02;;82,78;0051232601
PULSEIRA;03 25;005.12440;;86,88;0051244001
PULSEIRA;03 25;005.12484;;1;0051248401
PULSEIRA N/A;03 25;005.12484_02;;0;005124840
PULSEIRA;03 25;005.12562;;41,62;0051256201
PULSEIRA;03 25;005.12717;;48,59;0051271701
PULSEIRA;03 25;005.12717_02;;48,59;0051271701
PULSEIRA;03 25;005.12742;;30,87;0051274201
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.12829;;58,38;0051282966
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.13119;;58,38;0051311966
PULSEIRA;03 25;005.13154;;48,59;0051315465
PULSEIRA;03 25;005.13195;;31,08;0051319501
PULSEIRA DISPONIVEL NO RODIO;03 25;005.13239;;31,08;0051323973
PULSEIRA;03 25;005.13298;;42,76;0051329801
PULSEIRA;03 25;005.13370;;24,93;0051337001
PULSEIRA;03 25;005.13412;;38,17;0051341201
PULSEIRA N/A;03 25;005.13413;;62,28;0051341386
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.13417;;93;0051341766
PULSEIRA;03 25;005.13462;;4;0051346265
PULSEIRA;03 25;005.13462_02;;0;0451346265
PULSEIRA;03 25;005.13463;;8;0051346345
PULSEIRA;03 25;005.13463_02;;50;0851346345
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.13498;;3;0051349866
PULSEIRA DISPONIVEL NA PRATA 925;03 25;005.13499;;58,38;0051349966
PULSEIRA;03 25;005.13547;;59,04;0051354745
PULSEIRA;03 25;005.13577;;24,23;0051357701
PULSEIRA;03 25;005.13591;;69,50;0051359145
PULSEIRA;03 25;005.13594;;38,17;0051359401
PULSEIRA;03 25;005.13595;;69,50;0051359501
PULSEIRA;03 25;005.13604;;59,04;0051360445
PULSEIRA;03 25;005.13604_02;;59,04;0051360445
PULSEIRA;03 25;005.13626;;41,62;0051362601
PULSEIRA;03 25;005.13630;;31,20;0051363001
PULSEIRA;03 25;005.13637;;48,59;0051363701
PULSEIRA;03 25;005.13651;;55,60;0051365101
PULSEIRA;03 25;005.13698;;38,17;0051369801
PULSEIRA;03 25;005.13749;;38,17;0051374901
PULSEIRA;03 25;005.13936;;38,79;0051393601
PULSEIRA;03 25;005.13975;;42,76;0051397501
PULSEIRA;03 25;005.13977;;24,23;0051397701
PULSEIRA;03 25;005.13982;;48,59;0051398201
PULSEIRA;03 25;005.14057;;38,17;0051405701
PULSEIRA;03 25;005.14060;;38,17;0051406001
PULSEIRA;03 25;005.14068;;45,14;0051406801
PULSEIRA;03 25;005.14081;;79,95;0051408101
PULSEIRA;03 25;005.14116;;48,59;0051411601
PULSEIRA;03 25;005.14117;;48,59;0051411701
PULSEIRA;03 25;005.14202;;79,95;0051420201
PULSEIRA;03 25;005.14203;;79,95;0051420301
PULSEIRA;03 25;005.14204;;79,95;0051420401
PULSEIRA DISPONIVEL NO RODIO;03 25;005.14234;;48,59;0051423473
PULSEIRA DISPONIVEL NO RODIO;03 25;005.14234_02;;48,59;0051423473
PULSEIRA DISPONIVEL NO RODIO;03 25;005.14237;;48,59;0051423773
PULSEIRA DISPONIVEL NO RODIO;03 25;005.14237_02;;48,59;0051423773
PULSEIRA DISPONIVEL NO RODIO;03 25;005.14238;;48,59;0051423873
PULSEIRA DISPONIVEL NO RODIO;03 25;005.14238_02;;48,59;0051423873
PULSEIRA;03 25;005.14273;;27,76;0051427301
PULSEIRA;03 25;005.14275;;24,23;0051427501
PULSEIRA;03 25;005.14289;;49,98;0051428901
PULSEIRA;03 25;005.14355;;17,22;0051435501
PULSEIRA;03 25;005.14357;;17,22;0051435701
